#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
6B|NYC6|40.05908|-117.97822|1498|New York Canyon Array NYC6|2010-08-04T00:00:00|3000-01-01T00:00:00
6B|NYC7|40.077917|-118.02386|1264|New York Canyon Array NYC7|2010-08-05T00:00:00|3000-01-01T00:00:00
6B|NYC8|40.086|-118.00031|1272|New York Canyon Array NYC8|2010-08-05T00:00:00|3000-01-01T00:00:00
AZ|KNW|33.7141|-116.7119|1507|Keenwild Fire Station, Mountain Center, CA, USA|1982-10-01T00:00:00|3000-01-01T00:00:00
AZ|LVA2|33.3516|-116.5615|1435|Lost Valley Scout Camp, CA, USA|1993-04-18T00:00:00|3000-01-01T00:00:00
AZ|PFO|33.6117|-116.4594|1259|Pinyon Flats Observatory, CA, USA|1982-10-01T00:00:00|3000-01-01T00:00:00
AZ|RDM|33.63|-116.8478|1365|Red Mountain, Riverside Co, CA, USA|1982-10-01T00:00:00|3000-01-01T00:00:00
AZ|SOL|32.841|-117.248|245|Mt. Soledad, San Diego, CA|1996-02-09T00:00:00|3000-01-01T00:00:00
BG|ACR|38.836697|-122.760284|803|Alder Creek|2002-08-14T00:00:00|3000-01-01T00:00:00
BG|AL1|38.838223|-122.883453|704|Aidlin1 (power plant)|2003-01-01T00:00:00|3000-01-01T00:00:00
BG|AL2|38.816006|-122.897995|657|Aidlin2 (power plant)|2004-11-17T00:00:00|3000-01-01T00:00:00
BG|AL3|38.827545|-122.856873|781|Aidlin3 (power plant)|2004-11-20T00:00:00|3000-01-01T00:00:00
BG|AL4|38.838589|-122.835487|661|Aidlin4 (power plant)|2004-11-17T00:00:00|3000-01-01T00:00:00
BG|AL5|38.839996|-122.868622|593|Aidlin5 (power plant)|2005-03-12T00:00:00|3000-01-01T00:00:00
BG|AL6|38.79995|-122.861343|749|Aidlin6 (power plant)|2005-04-01T00:00:00|3000-01-01T00:00:00
BG|BRP|38.854858|-122.797142|905|Bottle Rock Power|2010-01-27T23:15:00|3000-01-01T00:00:00
BG|BUC|38.823116|-122.83503|888|Buckeye Mine|2002-08-15T00:00:00|3000-01-01T00:00:00
BG|CLV|38.838409|-122.790344|989|Clear Lake View|2002-08-13T00:00:00|3000-01-01T00:00:00
BG|DEB|38.763947|-122.680702|525|Davies Estate Borehole|2014-04-04T19:00:00|3000-01-01T00:00:00
BG|DES|38.768177|-122.69928|650|Davies Estate|2002-08-06T00:00:00|3000-01-01T00:00:00
BG|DRH|38.823601|-122.952698|311|Hale Ranch|2011-02-15T22:43:00|3000-01-01T00:00:00
BG|DRK|38.788326|-122.80307|757|Diana Rock|2002-08-14T00:00:00|3000-01-01T00:00:00
BG|DVB|38.764099|-122.681038|682|Dillingham & Voight|2002-10-10T00:00:00|2014-06-02T23:59:00
BG|DXR|38.82304|-122.772026|1021|Decca Xagon Hunting Cl|2002-08-13T00:00:00|2005-11-23T00:00:00
BG|EPR|38.747108|-122.693359|890|EPR Geysers net|2009-08-14T21:00:00|3000-01-01T00:00:00
BG|FNF|38.770721|-122.765747|870|Frandzen Federal estat|2002-07-30T00:00:00|3000-01-01T00:00:00
BG|FUM|38.793179|-122.787918|673|Fumarole|2002-08-02T00:00:00|3000-01-01T00:00:00
BG|HBW|38.858528|-122.875687|985|Humming Bird west|2010-01-29T20:30:00|3000-01-01T00:00:00
BG|HER|38.844761|-122.913803|668|H E Ranch|2010-07-16T19:43:00|3000-01-01T00:00:00
BG|HVC|38.842602|-122.776398|779|High Valley Creek|2011-03-22T20:32:00|3000-01-01T00:00:00
BG|INJ|38.805012|-122.793617|947|Injecton well GDC88-12|2002-10-17T00:00:00|2004-03-13T00:00:00
BG|JKB|38.800629|-122.75972|1067|John Kingcaid borehole|2012-07-19T00:00:00|3000-01-01T00:00:00
BG|JKR|38.800625|-122.759712|1067|John Kingcaid Road|2002-08-08T00:00:00|2012-07-18T23:21:00
BG|LCK|38.819542|-122.741737|1166|Lee Creek|2002-08-07T00:00:00|3000-01-01T00:00:00
BG|MCL|38.85466|-122.823349|961|Mendocino County line|2010-01-27T23:15:00|3000-01-01T00:00:00
BG|MNS|38.79221|-122.716461|789|Moonscape|2002-10-16T00:00:00|3000-01-01T00:00:00
BG|NEG|38.830471|-122.769913|922|NEGU pad|2011-03-06T01:30:00|3000-01-01T00:00:00
BG|PFR|38.752724|-122.74453|1020|Pine Flat Road|2002-07-31T00:00:00|3000-01-01T00:00:00
BG|PSR|38.750683|-122.691063|855|Geysers Station|2002-08-22T00:00:00|2005-11-23T00:00:00
BG|RGP|38.87833|-122.811272|799|Ruby Glebe property|2009-11-19T21:52:00|3000-01-01T00:00:00
BG|SB4|38.808868|-122.829178|327|Sulfur Bank|2002-08-15T00:00:00|3000-01-01T00:00:00
BG|SQK|38.823395|-122.810074|639|Squaw Creek|2002-08-20T00:00:00|3000-01-01T00:00:00
BG|SRB|38.740726|-122.711555|1052|Sheepskin Ridge Borehl|2014-06-27T20:00:00|3000-01-01T00:00:00
BG|SSR|38.740189|-122.71122|1076|Sheepskin Rock|2002-07-31T00:00:00|3000-01-01T00:00:00
BG|STY|38.813259|-122.780685|1112|Storage Yard|2002-08-08T00:00:00|3000-01-01T00:00:00
BG|TCH|38.783237|-122.736725|951|Tocher estate|2002-08-06T00:00:00|3000-01-01T00:00:00
BG|U14|38.785072|-122.772339|662|Unit 14 power plant|2002-08-20T00:00:00|2005-11-23T23:59:00
BG|WRK|38.763157|-122.7239|1008|Wardlow Rock|2002-10-09T00:00:00|2004-09-04T00:00:00
BK|ARC|40.87772|-124.07738|30.1|Humboldt State University, Arcata, CA, USA|1992-05-28T19:48:00|2001-08-02T00:36:00
BK|BBEB|37.821596|-122.329751|-30.8|Bay Bridge Pier 23, Oakland, CA, USA|2002-09-10T02:54:00|2007-11-20T01:30:00
BK|BDM|37.95397|-121.86554|219.8|Black Diamond Mines Park, Antioch, CA, USA|1998-11-12T00:00:00|3000-01-01T00:00:00
BK|BKS|37.87622|-122.23558|243.9|Byerly Seismographic Vault, Berkeley, CA, USA|1987-05-05T00:00:00|3000-01-01T00:00:00
BK|BL67|37.87492|-122.24318|736.18|LBL Building 67, Berkeley, CA, USA|2011-04-15T18:00:00|3000-01-01T00:00:00
BK|BL88|37.87715|-122.25429|602.21|LBL Building 88, Berkeley, CA, USA|2011-01-25T21:00:00|3000-01-01T00:00:00
BK|BRIB|37.91886|-122.15179|219.7|Briones Reserve, Orinda, CA, USA|1995-06-23T16:00:00|3000-01-01T00:00:00
BK|BRK|37.87352|-122.26099|49.4|Haviland Hall, Berkeley, CA, USA|1996-08-16T00:00:00|3000-01-01T00:00:00
BK|CMAB|38.06892|-122.22914|5.6|California Maritime Academy, Vallejo, CA, USA|2009-12-16T22:00:00|3000-01-01T00:00:00
BK|CMB|38.03455|-120.38651|697|Columbia College, Columbia, CA, USA|1986-10-25T00:00:00|3000-01-01T00:00:00
BK|CMSB|37.87195|-122.25168|94.7|Cal Memorial Stadium, Berkeley, CA, USA|1994-12-19T20:15:00|2010-12-02T17:23:46
BK|CRQB|38.05578|-122.22487|-25|Carquinez Bridge, Crockett, CA, USA|1996-07-04T01:40:00|2010-05-17T19:00:00
BK|CVS|38.34526|-122.4584|295.1|Carmenet Vineyards, Sonoma, CA, USA|1998-05-06T00:00:00|3000-01-01T00:00:00
BK|ELFS|40.61835|-120.72791|1554.5|Eagle Lake Biol. Field Stn., Susanville, CA, USA|2005-05-19T00:00:00|2007-10-10T17:44:00
BK|FARB|37.69782|-123.0011|-18.5|Farallon Islands, CA, USA|1997-03-15T00:00:00|3000-01-01T00:00:00
BK|GASB|39.65471|-122.71595|1354.8|Alder Springs, CA, USA|2005-09-22T00:00:00|3000-01-01T00:00:00
BK|HAST|36.3887|-121.5514|542|UC Hastings Preserve, Carmel Valley, CA, USA|2006-02-02T00:00:00|3000-01-01T00:00:00
BK|HATC|40.8161|-121.46117|1009.3|Hat Creek Radio Astronomy Obs., Cassel, CA, USA|2005-05-18T00:00:00|3000-01-01T00:00:00
BK|HELL|36.68011|-119.02282|1140|Rademacher Property, Miramonte, CA, USA|2005-04-09T00:00:00|3000-01-01T00:00:00
BK|HERB|38.01239|-122.26217|-18|Caltrans Maintenance Yard, Hercules, CA, USA|2001-09-18T23:44:00|3000-01-01T00:00:00
BK|HOPS|38.99349|-123.07234|299.1|Hopland Research and Extension Center, Hopland, CA|1994-10-21T02:23:00|3000-01-01T00:00:00
BK|HUMO|42.6071|-122.95669|554.9|Hull Mountain, OR, USA|2002-06-18T00:00:00|3000-01-01T00:00:00
BK|JAS|37.94663|-120.43933|428.1|Jamestown, CA, USA|1980-10-01T00:00:00|1984-07-25T23:59:00
BK|JAS1|37.92663|-120.42103|398.1|Jamestown, CA, USA|1984-07-26T00:00:00|1986-10-24T23:59:00
BK|JCC|40.81745|-124.02955|27.25|Jacoby Creek, Bayside, CA, USA|2001-04-11T21:27:00|3000-01-01T00:00:00
BK|JRSC|37.40373|-122.23868|70.5|Jasper Ridge Biol. Preserve, Stanford, CA, USA|1994-06-30T21:20:00|3000-01-01T00:00:00
BK|KCC|37.32363|-119.3187|888.1|Kaiser Creek, CA, USA|1995-12-09T00:00:00|3000-01-01T00:00:00
BK|MCCM|38.14478|-122.88018|-7.7|Marconi Conference Center, Marshall, CA, USA|2006-02-03T18:30:00|3000-01-01T00:00:00
BK|MHC|37.34164|-121.64257|1250.4|Lick Observatory, Mt. Hamiliton, CA, USA|1986-09-10T00:00:00|3000-01-01T00:00:00
BK|MHDL|37.84232|-122.49431|94.5|Marin Headlands, GG Nat'l Rec. Area, CA, USA|2006-05-17T23:00:00|3000-01-01T00:00:00
BK|MIN|40.34601|-121.60656|1470.9|Mt. Lassen Park Hdqts, Mineral, CA, USA|1993-03-19T19:46:00|1999-12-08T18:10:00
BK|MNRC|38.87874|-122.44277|709.87|McLaughlin Mine, CA, USA|2003-06-19T15:00:00|3000-01-01T00:00:00
BK|MOBB|36.69065|-122.16603|-1036.5|Monterey Bay Ocean Bottom, CA, USA|2002-04-10T18:43:00|3000-01-01T00:00:00
BK|MOD|41.90246|-120.30295|1554.5|Modoc Plateau, CA, USA|1999-10-16T00:00:00|3000-01-01T00:00:00
BK|OHLN|38.00625|-122.27299|-.5|Ohlone Park, Hercules, CA, USA|2001-10-05T00:00:00|3000-01-01T00:00:00
BK|ORV|39.55451|-121.50036|334.7|Oroville Dam, Oroville, CA, USA|1992-07-31T18:50:00|3000-01-01T00:00:00
BK|OXMT|37.49936|-122.42431|209.1|Ox Mountain, CA, USA|2003-12-20T00:10:00|3000-01-01T00:00:00
BK|PACP|37.008|-121.287|844|Pacheco Peak, CA, USA|2003-06-19T15:00:00|3000-01-01T00:00:00
BK|PETB|38.1189|-122.5011|-30|Petaluma River Bridge, Petaluma, CA, USA|2010-09-10T01:00:00|3000-01-01T00:00:00
BK|PKD|35.94517|-120.5416|583|Bear Valley Ranch, Parkfield, CA, USA|1996-09-06T16:28:00|3000-01-01T00:00:00
BK|PKD1|35.8894|-120.42611|431.6|Haliburton House, Parkfield, CA, USA|1992-10-21T00:00:00|2000-10-01T23:59:00
BK|PKD2|35.88816|-120.43052|525|Carr Hill, Parkfield, CA, USA|2001-02-08T20:21:00|2012-03-02T20:00:00
BK|POTR|38.20263|-121.93535|20|Potrero Hills, Fairfield, CA, USA|1998-12-10T22:18:00|2005-02-05T01:29:00
BK|RAMR|35.63597|-120.86984|416.8|Ramage Ranch, Paso Robles, CA, USA|2004-11-06T00:00:00|3000-01-01T00:00:00
BK|RB2B|37.93335|-122.40314|-18|RSRB, Pier 58, CA, USA|2009-11-06T00:00:00|3000-01-01T00:00:00
BK|RFSB|37.91608|-122.3361|-27.3|Richmond Field Station, Richmond, CA, USA|1996-01-29T22:00:00|3000-01-01T00:00:00
BK|RSRB|37.93575|-122.44648|-48|Richmond-San Rafael Bridge, CA, USA|1997-06-07T00:00:00|2001-04-20T00:00:00
BK|SAO|36.76403|-121.44722|317.2|San Andreas Geophysical Obs., Hollister, CA, USA|1988-01-28T00:00:00|3000-01-01T00:00:00
BK|SBRN|37.68561|-122.41127|4|San Bruno Mtn., Brisbane, CA, USA|2002-08-15T00:00:00|3000-01-01T00:00:00
BK|SCCB|37.28744|-121.86422|98.4|Santa Clara Co. Comm. Cntr., Santa Clara, CA, USA|2000-04-28T11:17:00|3000-01-01T00:00:00
BK|SCZ|36.598|-121.403|261|Chualar Canyon, Santa Cruz, CA, USA|2013-04-10T22:27:00|3000-01-01T00:00:00
BK|SM2B|37.838744|-122.11022|200|St. Mary's College Borehole, Moraga, CA, USA|2007-03-06T00:38:00|3000-01-01T00:00:00
BK|SMCB|37.83881|-122.11159|180.9|St. Mary's College, Moraga, CA, USA|1997-12-19T00:00:00|2007-06-26T19:00:00
BK|STAN|37.40393|-122.17508|125.5|Stanford, CA, USA|1991-08-20T00:20:00|1994-06-30T15:06:00
BK|SUTB|39.2291|-121.7861|252|Sutter Buttes, CA, USA|2005-10-16T00:00:00|3000-01-01T00:00:00
BK|SVIN|38.03318|-122.52632|-27.5|St. Vincent's Sch. for Boys, San Rafael, CA, USA|2003-08-05T17:51:00|3000-01-01T00:00:00
BK|TCHL|35.688123|-120.400916|431|Clark Property, Shandon, CA, USA|2013-06-19T19:45:00|3000-01-01T00:00:00
BK|THIS|35.72405|-120.22845|643|South End of Cholame Valley, Shandon, CA, USA|2012-05-07T16:25:00|3000-01-01T00:00:00
BK|TRAM|35.67691|-120.27093|642|Rambo Property, Shandon, CA, USA|2012-12-13T00:46:00|3000-01-01T00:00:00
BK|TSCN|35.543978|-120.348062|476.4672|Shell Creek North, Shandon, CA, USA|2012-03-09T00:00:00|3000-01-01T00:00:00
BK|VAK|37.877526|-122.24889|266|LBL B46 Tunnel, Berkeley, CA, USA|2010-08-31T00:00:00|3000-01-01T00:00:00
BK|VALB|38.1215|-122.2753|-24.5|Napa River Bridge, Vallejo, CA, USA|2005-11-27T00:00:00|3000-01-01T00:00:00
BK|W02B|37.79112|-122.38632|-45.1|Bay Bridge Pier W2, San Francisco, CA, USA|2003-06-18T00:00:00|2010-06-06T23:51:33
BK|WDC|40.57988|-122.54113|268.3|Whiskeytown Dam, Whiskeytown, CA, USA|1992-09-17T19:23:00|3000-01-01T00:00:00
BK|WENL|37.62211|-121.75697|138.9|Wente Vineyards, Livermore, CA, USA|1997-06-21T01:11:00|3000-01-01T00:00:00
BK|YBH|41.73204|-122.71039|1059.7|Yreka Blue Horn Mine, Yreka, CA, USA|1993-07-24T01:03:00|3000-01-01T00:00:00
BK|YBIB|37.8142|-122.35923|-27|Yerba Buena Island, San Francisco, CA, USA|1996-06-28T23:25:00|2000-08-24T02:00:00
BP|CCRB|35.95718|-120.55158|595|Cholame Creek, Parkfield, CA, USA|2001-05-01T00:00:00|3000-01-01T00:00:00
BP|EADB|35.89522|-120.42262|469|Eade Ranch, Parkfield, CA, USA|2000-11-25T00:00:00|3000-01-01T00:00:00
BP|FROB|35.91095|-120.48688|515|Froelich Ranch, Parkfield, CA, USA|2000-11-10T00:00:00|3000-01-01T00:00:00
BP|GHIB|35.83225|-120.34728|393|Gold Hill, Parkfield, CA, USA|2001-01-12T00:00:00|3000-01-01T00:00:00
BP|JCNB|35.93897|-120.43112|533|Joaquin Canyon North, Parkfield, CA, USA|2001-07-09T00:00:00|3000-01-01T00:00:00
BP|JCSB|35.92117|-120.434|454|Joaquin Canyon South, Parkfield, CA, USA|2000-11-10T00:00:00|3000-01-01T00:00:00
BP|LCCB|35.98006|-120.51423|637|Little Cholame Creek, Parkfield, CA, USA|2001-07-24T00:00:00|3000-01-01T00:00:00
BP|MMNB|35.9565|-120.496|701|Middle Mountain, Parkfield, CA, USA|2001-07-09T00:00:00|3000-01-01T00:00:00
BP|RMNB|36.00087|-120.47772|1164|Gastro Peak, Parkfield, CA, USA|2000-11-10T00:00:00|2011-07-20T23:56:31
BP|SCYB|36.00942|-120.53661|947|Stone Canyon, Parkfield, CA, USA|2001-07-24T00:00:00|3000-01-01T00:00:00
BP|SMNB|35.97297|-120.57988|698|Stockdale Mountain, Parkfield, CA, USA|2001-07-09T00:00:00|3000-01-01T00:00:00
BP|VARB|35.92608|-120.44705|475|Varian Well, Parkfield, CA, USA|2001-01-11T00:00:00|3000-01-01T00:00:00
BP|VCAB|35.92162|-120.53392|755|Vineyard Canyon, Parkfield, CA, USA|2001-07-09T00:00:00|3000-01-01T00:00:00
CE|00022|32.739|-114.6357|40|Winterhaven - Sheriff Substation|1999-12-01T00:00:00|3000-01-01T00:00:00
CE|01711|32.7797|-115.5675|-7|El Centro - Imperial & Ross|2002-12-10T00:00:00|3000-01-01T00:00:00
CE|02140|32.8135|-116.9754|119|El Cajon - Marshall & Vernon|2002-11-06T00:00:00|3000-01-01T00:00:00
CE|02143|32.84|-116.974|108|Santee - Mission Gorge & Cottonwood|2001-08-20T00:00:00|3000-01-01T00:00:00
CE|02467|32.8379|-116.7749|527|Alpine - Fire Station|1999-12-16T00:00:00|3000-01-01T00:00:00
CE|02496|32.6511|-116.3656|1009|Campo - I8 & Church Rd|2011-05-16T00:00:00|3000-01-01T00:00:00
CE|02498|32.6195|-116.1921|860|Jacumba - Seely & Railroad|2011-05-17T00:00:00|3000-01-01T00:00:00
CE|02501|32.9921|-116.5858|1430|Julian - Hwy 79 & Engineers Rd|2011-12-06T00:00:00|3000-01-01T00:00:00
CE|02659|32.9424|-116.2768|353|Anza Borrego S.P. - Tierra Blanca|1995-05-25T00:00:00|3000-01-01T00:00:00
CE|03121|32.749|-117.241|11|San Diego - Ocean Beach Fire Sta|2004-01-01T00:00:00|3000-01-01T00:00:00
CE|03139|32.774|-117.001|179|La Mesa - I8 & Hwy 125|2001-08-20T00:00:00|3000-01-01T00:00:00
CE|03145|32.71|-117.158|11|San Diego - 8th & J St|2001-08-27T00:00:00|3000-01-01T00:00:00
CE|03146|32.7299|-117.169|18|San Diego - I5 & Laurel|2001-08-27T00:00:00|3000-01-01T00:00:00
CE|03147|32.7016|-117.1199|14|San Diego - Hwy 15 & Ocean View|2002-11-05T00:00:00|3000-01-01T00:00:00
CE|03148|32.735|-117.08|79|San Diego - 54th & College Grove|2002-11-06T00:00:00|3000-01-01T00:00:00
CE|03150|32.795|-117.255|5|Pacific Beach - Mission & Grand|2002-11-07T00:00:00|3000-01-01T00:00:00
CE|03151|32.822|-117.175|118|San Diego - Balboa & Mt Abernathy|2004-03-23T00:00:00|3000-01-01T00:00:00
CE|03152|32.7097|-117.0068|79|Spring Valley - Jamacha & Gillespie|2002-11-06T00:00:00|3000-01-01T00:00:00
CE|03154|32.7535|-117.0968|104|San Diego - 45th & Orange|2002-11-06T00:00:00|3000-01-01T00:00:00
CE|03155|32.692|-117.037|143|San Diego - Briarwood & Paradise Vly|2002-11-06T00:00:00|3000-01-01T00:00:00
CE|03156|32.915|-117.142|131|San Diego - Mira Mesa & Camino Ruiz|2002-11-07T00:00:00|3000-01-01T00:00:00
CE|03260|32.9545|-117.0416|149|Poway - Community Rd & Civic Center|2005-01-26T00:00:00|3000-01-01T00:00:00
CE|03468|32.5762|-117.0849|6|San Diego - I5 & Hollister|2011-08-23T00:00:00|3000-01-01T00:00:00
CE|03469|32.5839|-117.0451|73|San Diego - Twining & Palm|2011-08-24T00:00:00|3000-01-01T00:00:00
CE|03471|32.6691|-117.0767|23|National City - Euclid & E 24th|2011-08-25T00:00:00|3000-01-01T00:00:00
CE|03490|32.6315|-117.0589|53|Chula Vista - J & Hilltop|2011-08-24T00:00:00|3000-01-01T00:00:00
CE|03521|32.8793|-117.2239|105|La Jolla - UCSD Hospital Grounds A|2012-04-04T00:00:00|3000-01-01T00:00:00
CE|03539|32.8859|-117.2259|99|La Jolla - I5 & Genesee|2012-10-24T00:00:00|3000-01-01T00:00:00
CE|03746|32.754|-117.164|91|San Diego - UCSD Hospital Grounds|2001-12-14T00:00:00|3000-01-01T00:00:00
CE|10021|33.6099|-114.7151|119|Blythe - Fire Station|1999-11-30T00:00:00|3000-01-01T00:00:00
CE|11023|33.2389|-115.5128|-42|Niland - Fire Station|2002-11-21T00:00:00|3000-01-01T00:00:00
CE|11217|33.5108|-115.9198|-62|North Shore - Hwy 111 & Parkside Dr|2004-03-24T00:00:00|3000-01-01T00:00:00
CE|11369|33.037|-115.6235|-49|Westmorland - Fire Station|2002-11-21T00:00:00|3000-01-01T00:00:00
CE|11591|33.421|-115.831|0|North Shore - Durmid|1991-06-18T00:00:00|3000-01-01T00:00:00
CE|11625|33.5641|-115.9876|9|Mecca - CVWD Yard|2005-01-25T00:00:00|3000-01-01T00:00:00
CE|11627|33.397|-115.776|-11|Bombay Beach - Bertram|2006-03-16T00:00:00|3000-01-01T00:00:00
CE|11684|33.398|-115.657|3|Frink|1996-12-18T00:00:00|3000-01-01T00:00:00
CE|12025|33.8294|-116.5125|131|Palm Springs - Airport|1999-10-20T00:00:00|3000-01-01T00:00:00
CE|12076|33.6781|-116.1784|-19|Coachella - 6th & Palm|2005-01-24T00:00:00|3000-01-01T00:00:00
CE|12092|33.4818|-116.9114|501|Radec - Sage & Cottonwood School Rds|2002-10-24T00:00:00|3000-01-01T00:00:00
CE|12102|33.7869|-116.9592|475|San Jacinto - CDF Fire Station 25|2002-10-25T00:00:00|3000-01-01T00:00:00
CE|12108|33.8149|-116.4612|109|Cathedral City - Ramon & Desert Vista|2002-04-11T00:00:00|3000-01-01T00:00:00
